station,entries_count,exits_count,date
GUN HILL RD,3400,3515,4/2/16
GUN HILL RD,3375,3446,4/3/16
GUN HILL RD,12846,8108,4/4/16
GUN HILL RD,13738,8674,4/5/16
GUN HILL RD,13292,8955,4/6/16
GUN HILL RD,13554,8834,4/7/16
GUN HILL RD,13730,8920,4/8/16
34 ST-PENN STA,62017,65913,4/2/16
34 ST-PENN STA,63664,64252,4/3/16
34 ST-PENN STA,164813,138596,4/4/16
34 ST-PENN STA,171081,141232,4/5/16
34 ST-PENN STA,166998,142476,4/6/16
34 ST-PENN STA,158334,133138,4/7/16
34 ST-PENN STA,157278,141524,4/8/16
GRD CNTRL-42 ST,32441,35699,4/2/16
GRD CNTRL-42 ST,32441,35699,4/3/16
GRD CNTRL-42 ST,128690,118183,4/4/16
GRD CNTRL-42 ST,127909,123353,4/5/16
GRD CNTRL-42 ST,124389,119059,4/7/16
GRD CNTRL-42 ST,122050,115356,4/8/16
86 ST,47888,53470,4/2/16
86 ST,47888,53470,4/3/16
86 ST,100114,78751,4/4/16
86 ST,104984,79228,4/5/16
86 ST,106076,79416,4/6/16
86 ST,104331,79398,4/7/16
86 ST,104012,80932,4/8/16
34 ST-HERALD SQ,41450,46838,4/2/16
34 ST-HERALD SQ,41450,46838,4/3/16
34 ST-HERALD SQ,99245,100255,4/4/16
34 ST-HERALD SQ,103783,105236,4/5/16
34 ST-HERALD SQ,103187,106336,4/6/16
34 ST-HERALD SQ,100161,105703,4/7/16
34 ST-HERALD SQ,102901,106809,4/8/16
23 ST,33637,28727,4/2/16
23 ST,33637,28727,4/3/16
23 ST,96868,80337,4/4/16
23 ST,101059,82420,4/5/16
23 ST,102311,85133,4/6/16
23 ST,98191,82312,4/7/16
23 ST,96116,80833,4/8/16
14 ST-UNION SQ,48518,51821,4/2/16
14 ST-UNION SQ,48518,51821,4/3/16
14 ST-UNION SQ,88975,81588,4/4/16
14 ST-UNION SQ,96127,89814,4/5/16
14 ST-UNION SQ,96238,89365,4/6/16
14 ST-UNION SQ,93125,87987,4/7/16
14 ST-UNION SQ,97620,93702,4/8/16
TIMES SQ-42 ST,36788,43329,4/2/16
TIMES SQ-42 ST,36788,43329,4/3/16
TIMES SQ-42 ST,73405,74710,4/4/16
TIMES SQ-42 ST,77227,82341,4/5/16
TIMES SQ-42 ST,79589,84244,4/6/16
TIMES SQ-42 ST,76319,81881,4/7/16
TIMES SQ-42 ST,78962,84551,4/8/16
CHAMBERS ST,15562,10924,4/2/16
CHAMBERS ST,15562,10924,4/3/16
CHAMBERS ST,70991,42717,4/4/16
CHAMBERS ST,74053,45219,4/6/16
CHAMBERS ST,72165,45359,4/7/16
CHAMBERS ST,69271,41780,4/8/16
FULTON ST,16865,14813,4/2/16
FULTON ST,16865,14813,4/3/16
FULTON ST,66532,63919,4/4/16
FULTON ST,70260,67047,4/5/16
FULTON ST,70768,67657,4/6/16
FULTON ST,69740,66948,4/7/16
FULTON ST,69614,64667,4/8/16
CANAL ST,32180,24462,4/2/16
CANAL ST,32180,24462,4/3/16
CANAL ST,60442,47774,4/4/16
CANAL ST,64847,51292,4/5/16
CANAL ST,64726,51058,4/6/16
CANAL ST,62752,51314,4/7/16
CANAL ST,67693,54668,4/8/16
59 ST COLUMBUS,27890,22687,4/2/16
59 ST COLUMBUS,27890,22687,4/3/16
59 ST COLUMBUS,61766,51765,4/4/16
59 ST COLUMBUS,67395,56443,4/5/16
59 ST COLUMBUS,66762,55720,4/6/16
59 ST COLUMBUS,65340,55589,4/7/16
59 ST COLUMBUS,61769,50562,4/8/16
125 ST,32669,31233,4/2/16
125 ST,32669,31233,4/3/16
125 ST,64972,53753,4/4/16
125 ST,64329,57660,4/6/16
125 ST,61442,57008,4/7/16
125 ST,63783,58740,4/8/16
96 ST,23717,17340,4/2/16
96 ST,23717,17340,4/3/16
96 ST,58498,32855,4/4/16
96 ST,62599,34731,4/5/16
96 ST,63950,36327,4/6/16
96 ST,62952,35795,4/7/16
96 ST,62118,36021,4/8/16
FLUSHING-MAIN,24888,20108,4/2/16
FLUSHING-MAIN,24888,20108,4/3/16
FLUSHING-MAIN,54918,38179,4/4/16
FLUSHING-MAIN,57868,39878,4/5/16
FLUSHING-MAIN,57885,40259,4/6/16
FLUSHING-MAIN,55582,39219,4/7/16
FLUSHING-MAIN,57394,40667,4/8/16
