STATION,date,ENTRIES,EXITS
1 AV,2018-03-03,15833.0,19246.0
1 AV,2018-03-04,11946.0,13740.0
1 AV,2018-03-05,20623.0,22574.0
1 AV,2018-03-06,21454.0,23983.0
1 AV,2018-03-07,16537.0,19000.0
1 AV,2018-03-08,21573.0,23114.0
1 AV,2018-03-09,23388.0,26134.0
103 ST,2018-03-03,15838.0,11044.0
103 ST,2018-03-04,12676.0,9645.0
103 ST,2018-03-05,28506.0,18107.0
103 ST,2018-03-06,29643.0,18248.0
103 ST,2018-03-07,23009.0,15377.0
103 ST,2018-03-08,29629.0,18014.0
103 ST,2018-03-09,29917.0,18042.0
103 ST-CORONA,2018-03-03,10869.0,9075.0
103 ST-CORONA,2018-03-04,6999.0,6646.0
103 ST-CORONA,2018-03-05,19782.0,12469.0
103 ST-CORONA,2018-03-06,20256.0,12649.0
103 ST-CORONA,2018-03-07,16049.0,10696.0
103 ST-CORONA,2018-03-08,20208.0,12566.0
103 ST-CORONA,2018-03-09,20293.0,12311.0
104 ST,2018-03-03,625.0,334.0
104 ST,2018-03-04,483.0,246.0
104 ST,2018-03-05,2467.0,808.0
104 ST,2018-03-06,2623.0,777.0
104 ST,2018-03-07,1898.0,618.0
104 ST,2018-03-08,2407.0,761.0
104 ST,2018-03-09,2442.0,745.0
110 ST,2018-03-03,6879.0,5826.0
110 ST,2018-03-04,4932.0,4905.0
110 ST,2018-03-05,11253.0,8403.0
110 ST,2018-03-06,11432.0,8286.0
110 ST,2018-03-07,8640.0,7026.0
110 ST,2018-03-08,11417.0,8279.0
110 ST,2018-03-09,11744.0,8718.0
111 ST,2018-03-03,8131.0,3479.0
111 ST,2018-03-04,5790.0,2960.0
111 ST,2018-03-05,16988.0,9034.0
111 ST,2018-03-06,17441.0,9401.0
111 ST,2018-03-07,13388.0,7877.0
111 ST,2018-03-08,17022.0,8978.0
111 ST,2018-03-09,17280.0,8674.0
116 ST,2018-03-03,18296.0,8859.0
116 ST,2018-03-04,14921.0,7309.0
116 ST,2018-03-05,31470.0,14012.0
116 ST,2018-03-06,32597.0,14253.0
116 ST,2018-03-07,24135.0,11359.0
116 ST,2018-03-08,31992.0,14050.0
116 ST,2018-03-09,32580.0,14367.0
116 ST-COLUMBIA,2018-03-03,7414.0,3733.0
116 ST-COLUMBIA,2018-03-04,5325.0,3214.0
116 ST-COLUMBIA,2018-03-05,13215.0,7891.0
116 ST-COLUMBIA,2018-03-06,13880.0,7887.0
116 ST-COLUMBIA,2018-03-07,10107.0,5112.0
116 ST-COLUMBIA,2018-03-08,14228.0,7687.0
116 ST-COLUMBIA,2018-03-09,13642.0,6189.0
121 ST,2018-03-03,3.0,31.0
121 ST,2018-03-04,6.0,8.0
121 ST,2018-03-05,1275.0,1320.0
121 ST,2018-03-06,1269.0,1184.0
121 ST,2018-03-07,990.0,769.0
121 ST,2018-03-08,1196.0,819.0
121 ST,2018-03-09,1292.0,763.0
